participant_id,original_row,original_col,group,model,criterion,value,model_label
14,14,"orange-model-71 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
5,5,"orange-model-614 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0,OSS
7,7,"orange-model-614 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
8,8,"orange-model-614 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
9,9,"orange-model-614 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
12,12,"orange-model-614 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0,OSS
13,13,"orange-model-614 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0,OSS
1,1,"orange-model-668 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0,OSS
5,5,"orange-model-668 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0,OSS
7,7,"orange-model-668 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0,OSS
10,10,"orange-model-668 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0,OSS
11,11,"orange-model-668 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0,OSS
14,14,"orange-model-668 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
0,0,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
2,2,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
3,3,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
4,4,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0,OSS
6,6,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0,OSS
8,8,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0,OSS
9,9,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0,OSS
11,11,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0,OSS
13,13,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0,OSS
0,0,"orange-model-87 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
4,4,"orange-model-87 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0,OSS
7,7,"orange-model-87 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0,OSS
10,10,"orange-model-87 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0,OSS
11,11,"orange-model-87 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0,OSS
13,13,"orange-model-87 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0,OSS
1,1,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0,OSS
3,3,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0,OSS
5,5,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0,OSS
6,6,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0,OSS
7,7,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
8,8,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0,OSS
10,10,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0,OSS
12,12,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0,OSS
14,14,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0,OSS
0,0,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
1,1,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
2,2,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
3,3,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0,OSS
4,4,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0,OSS
6,6,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0,OSS
10,10,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0,OSS
11,11,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0,OSS
13,13,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0,OSS
0,0,"orange-model-366 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
2,2,"orange-model-366 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0,OSS
5,5,"orange-model-366 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0,OSS
6,6,"orange-model-366 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0,OSS
8,8,"orange-model-366 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0,OSS
10,10,"orange-model-366 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0,OSS
12,12,"orange-model-366 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
14,14,"orange-model-366 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0,OSS
0,0,"orange-model-371 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
1,1,"orange-model-371 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0,OSS
4,4,"orange-model-371 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0,OSS
7,7,"orange-model-371 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
9,9,"orange-model-371 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
11,11,"orange-model-371 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0,OSS
13,13,"orange-model-371 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0,OSS
2,2,"orange-model-185 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0,OSS
3,3,"orange-model-185 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0,OSS
4,4,"orange-model-185 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
6,6,"orange-model-185 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
9,9,"orange-model-185 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
12,12,"orange-model-185 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
14,14,"orange-model-185 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0,OSS
1,1,"orange-model-71 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0,OSS
2,2,"orange-model-71 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0,OSS
3,3,"orange-model-71 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
5,5,"orange-model-71 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
8,8,"orange-model-71 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
9,9,"orange-model-71 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0,OSS
12,12,"orange-model-71 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0,OSS
14,14,"orange-model-71 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
5,5,"orange-model-614 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
7,7,"orange-model-614 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
8,8,"orange-model-614 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
9,9,"orange-model-614 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0,OSS
12,12,"orange-model-614 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
13,13,"orange-model-614 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0,OSS
1,1,"orange-model-668 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0,OSS
5,5,"orange-model-668 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
7,7,"orange-model-668 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
10,10,"orange-model-668 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
11,11,"orange-model-668 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
14,14,"orange-model-668 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
0,0,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0,OSS
2,2,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0,OSS
3,3,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
4,4,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0,OSS
6,6,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0,OSS
8,8,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
9,9,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
11,11,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
13,13,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0,OSS
0,0,"orange-model-87 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0,OSS
4,4,"orange-model-87 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0,OSS
7,7,"orange-model-87 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
10,10,"orange-model-87 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
11,11,"orange-model-87 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0,OSS
13,13,"orange-model-87 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0,OSS
1,1,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0,OSS
3,3,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0,OSS
5,5,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
6,6,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
7,7,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
8,8,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
10,10,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0,OSS
12,12,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0,OSS
14,14,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
0,0,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0,OSS
1,1,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
2,2,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0,OSS
3,3,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
4,4,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0,OSS
6,6,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
10,10,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
11,11,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0,OSS
13,13,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0,OSS
0,0,"orange-model-366 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0,OSS
2,2,"orange-model-366 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
5,5,"orange-model-366 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
6,6,"orange-model-366 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0,OSS
8,8,"orange-model-366 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
10,10,"orange-model-366 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0,OSS
12,12,"orange-model-366 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0,OSS
14,14,"orange-model-366 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
0,0,"orange-model-371 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0,OSS
1,1,"orange-model-371 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0,OSS
4,4,"orange-model-371 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0,OSS
7,7,"orange-model-371 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0,OSS
9,9,"orange-model-371 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0,OSS
11,11,"orange-model-371 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0,OSS
